name,id,folderId
MPL_1802_CZ_AAE_All_All_All_LAB_Nurturing,4857,8575
MPL_1802_SK_AAE_All_All_All_LAB_Nurturing,4858,8575
MPL_1802_HU_AAE_All_All_All_LAB_Nurturing,4859,8575
MPL_1802_TR_AAE_All_All_All_LAB_Nurturing,4860,8575
MPL_1802_RU_AAE_All_All_All_LAB_Nurturing,4861,8575
MPL_1802_CN_AAE_All_All_All_LAB_Nurturing,4862,8575
MPL_1802_JP_AAE_All_All_All_LAB_Nurturing,4863,8575
MPL_1802_KR_AAE_All_All_All_LAB_Nurturing,4864,8575
MPL_1802_TW_AAE_All_All_All_LAB_Nurturing,4865,8575
MPL_1802_TH_AAE_All_All_All_LAB_Nurturing,4866,8575
MPL_1802_VN_AAE_All_All_All_LAB_Nurturing,4867,8575
HBK_1802_XX_All_All_ANA_TA_LAB_Welcome1,4869,18496
OTH_1802_All_All_All_ANA_TA_LAB_TAVoucher,4870,18402
OTH_1802_All_All_All_ANA_TA_LAB_TAVoucher,4870,18402
ENQ_XXXX_All_All_All_All_All_All_Pre-Dormant_Final Evaluation,4871,18437
ENQ_XXXX_All_All_All_All_All_All_Pre-Dormant_Survey,4873,18437
EMT_EMK_1802_All_PPT_LAB_All_All_All_Welcome1,4892,12162
eNewsletters - DE Adapted Concept,4893,5560
ENQ_XXXX_All_All_All_All_All_All_Pre-Dormant_Pilot,4898,18437
EMT_EMK_1601_IN_RAW_All_All_All_All_Welcome,4923,12163
EMT_EMK_1802_All_PPT_LAB_All_All_All_Welcome2,4928,12162
EMT_EMK_1803_All_FAB_IND/PRO/PI_All_All_All_Welcome1,4933,8653
EMT_EMK_1803_All_FAB_IND/PRO/PI_All_All_All_Welcome2,4936,8653
TopKA_welcome_CHE_2,4938,18698
TopKA_welcome_FAB_2,4939,18698
"TopKA_welcome_Procurement, Finance and Admin_2",4940,18698
TopKA_welcome_IT_2,4941,18698
TopKA_welcome_EME_2,4942,18698
TopKA_welcome_MPE_2,4943,18698
TopKA_welcome_PAB_2,4944,18698
TopKA_welcome_RAW_2,4945,18698
TopKA_welcome_TLH_2,4946,18698
TopKA_welcome_Generic_2,4948,18698
